ID,none_avg_pct,D0_avg_pct,D1_avg_pct,D2_avg_pct,D3_avg_pct,D4_avg_pct,total_acres_burned
162,26.517500000000002,52.6125,20.87,17.9775,2.7725,0.0,140078.0
163,14.441999999999998,59.146,26.412,17.98,2.77,0.0,849919.0
164,13.8125,57.49000000000001,28.697499999999994,18.055000000000003,2.77,0.0,162249.0
165,12.5825,57.98499999999999,29.432499999999997,18.44,4.3975,0.0,79026.0
166,14.563999999999998,55.25600000000001,30.179999999999996,17.766,3.626,0.0,3889.0
167,0.0,48.662499999999994,51.337500000000006,15.262500000000001,3.085,0.0,256166.0
168,7.77,30.492500000000003,61.7375,14.562500000000002,2.52,0.0,
169,11.001999999999999,31.526,57.472,6.807999999999998,1.014,0.0,
170,56.345000000000006,38.074999999999996,5.58,1.22,0.0,0.0,
171,92.525,7.325000000000001,0.15,0.0,0.0,0.0,
172,93.908,6.0920000000000005,0.0,0.0,0.0,0.0,
173,94.03,5.97,0.0,0.0,0.0,0.0,2500.0
174,95.68,4.32,0.0,0.0,0.0,0.0,11374.0
175,95.68,4.32,0.0,0.0,0.0,0.0,16392.0
176,93.4575,6.2700000000000005,0.2725,0.0,0.0,0.0,9646.0
177,90.30499999999999,8.1225,1.5725,0.0025,0.0,0.0,34102.0
178,88.10000000000001,9.839999999999998,2.06,0.0,0.0,0.0,98931.0
179,32.160000000000004,64.715,3.1250000000000004,0.0075,0.0,0.0,5660.0
180,80.09200000000001,19.906,0.002,0.0,0.0,0.0,
181,88.7325,11.2675,0.0,0.0,0.0,0.0,
182,47.4625,41.9325,10.604999999999999,0.0,0.0,0.0,
183,25.224,32.83399999999999,41.942,0.772,0.0,0.0,
184,39.4225,32.5025,28.075000000000003,10.997499999999999,2.33,0.0,
185,41.8,29.782500000000002,28.4175,17.302500000000002,3.2175,0.0,7060.0
186,41.791999999999994,29.768,28.440000000000005,18.286,2.5540000000000003,0.0,17331.0
187,40.7125,29.4975,29.79,18.59,2.745,0.0,160851.0
188,27.145000000000003,41.6775,31.1775,21.165,3.04,0.0,2034968.0
189,17.485999999999997,49.541999999999994,32.972,29.106,5.075999999999999,0.0,168740.0
190,15.4,39.929999999999986,44.67000000000001,22.869999999999997,12.74,0.0,26430.0
191,12.517500000000002,42.02,45.462500000000006,25.634999999999998,15.94,0.0,
192,0.692,48.099999999999994,51.208000000000006,39.934000000000005,27.668,0.714,9727.0
193,0.0,45.41749999999999,54.58250000000001,40.61749999999999,36.2075,1.8575,
194,0.51,44.847500000000004,54.6425,30.57,27.1475,3.75,
195,0.75,42.912,56.338,34.406,26.034,4.394,
196,0.3875,45.55,54.0625,41.1475,38.845,5.36,
197,0.0,36.25,63.74999999999999,35.63,58.397499999999994,15.21,6568.0
198,0.0,43.382000000000005,56.617999999999995,43.382000000000005,51.331999999999994,31.863999999999997,57095.0
199,0.0,45.09,54.91,45.09,49.74,36.637499999999996,1698482.0
200,0.0,54.465999999999994,45.534000000000006,54.465999999999994,40.906000000000006,47.464,477673.0
201,0.0,51.68000000000001,48.31999999999999,51.68000000000001,42.25,45.66,8578.0
202,0.0,51.4075,48.5925,51.4075,42.462500000000006,43.93,16970.0
203,0.0,45.92,54.08,45.92,46.786,34.104,
204,0.0,42.78500000000001,57.21499999999999,42.78500000000001,48.11,20.1225,
205,0.0,62.4525,37.5475,61.715,4.9825,0.21,
206,0.0,64.75,35.25,64.2675,2.7175000000000002,0.0,4136.0
207,0.0,63.138,36.862,63.138,27.759999999999998,0.0,
208,0.0,52.712500000000006,47.287499999999994,52.712500000000006,42.227500000000006,0.0,
209,0.0,44.95,55.05,44.838,51.278,4.672,5856.0
210,0.0,49.47,50.53,49.260000000000005,48.22,11.59,2500.0
211,0.0,50.3275,49.6725,50.11750000000001,47.3575,12.4525,4886.0
212,0.0,66.99600000000001,33.004000000000005,66.76199999999999,30.752,15.672000000000002,5208.0
213,0.0,70.99499999999999,29.005000000000003,70.755,24.157499999999995,16.57,87645.0
